Entity,Code,Year,ny_gdp_pcap_pp_kd,owid_region,pct_change
Cook Islands,COK,2023,,Oceania,
Fiji,FJI,1990,8126.8906,,
Fiji,FJI,1991,7843.1626,,-3.49
Fiji,FJI,1992,8261.304,,5.33
Fiji,FJI,1993,8383.651,,1.48
Fiji,FJI,1994,8762.415,,4.52
Fiji,FJI,1995,8936.778,,1.99
Fiji,FJI,1996,9306.982,,4.14
Fiji,FJI,1997,9008.645,,-3.21
Fiji,FJI,1998,9013.452,,0.05
Fiji,FJI,1999,9693.8125,,7.55
Fiji,FJI,2000,9426.114,,-2.76
Fiji,FJI,2001,9516.328,,0.96
Fiji,FJI,2002,9724.101,,2.18
Fiji,FJI,2003,9727.956,,0.04
Fiji,FJI,2004,10148.878,,4.33
Fiji,FJI,2005,10127.111,,-0.21
Fiji,FJI,2006,10222.198,,0.94
Fiji,FJI,2007,10050.951,,-1.68
Fiji,FJI,2008,10092.18,,0.41
Fiji,FJI,2009,9910.175,,-1.8
Fiji,FJI,2010,10167.35,,2.6
Fiji,FJI,2011,10412.996,,2.42
Fiji,FJI,2012,10537.692,,1.2
Fiji,FJI,2013,11019.299,,4.57
Fiji,FJI,2014,11621.13,,5.46
Fiji,FJI,2015,12131.092,,4.39
Fiji,FJI,2016,12419.826,,2.38
Fiji,FJI,2017,13090.501,,5.4
Fiji,FJI,2018,13612.952,,3.99
Fiji,FJI,2019,13567.474,,-0.33
Fiji,FJI,2020,11254.97,,-17.04
Fiji,FJI,2021,10685.197,,-5.06
Fiji,FJI,2022,12762.347,,19.44
Fiji,FJI,2023,13652.491,Oceania,6.97
Fiji,FJI,2024,14104.443,,3.31
Marshall Islands,MHL,1990,3905.586,,
Marshall Islands,MHL,1991,3828.4636,,-1.97
Marshall Islands,MHL,1992,4029.3413,,5.25
Marshall Islands,MHL,1993,4207.4097,,4.42
Marshall Islands,MHL,1994,4396.9146,,4.5
Marshall Islands,MHL,1995,4703.433,,6.97
Marshall Islands,MHL,1996,4174.814,,-11.24
Marshall Islands,MHL,1997,3867.3428,,-7.36
Marshall Islands,MHL,1998,3805.887,,-1.59
Marshall Islands,MHL,1999,3718.811,,-2.29
Marshall Islands,MHL,2000,3772.2158,,1.44
Marshall Islands,MHL,2001,4000.7305,,6.06
Marshall Islands,MHL,2002,4121.84,,3.03
Marshall Islands,MHL,2003,4040.655,,-1.97
Marshall Islands,MHL,2004,4012.3445,,-0.7
Marshall Islands,MHL,2005,4075.1587,,1.57
Marshall Islands,MHL,2006,4075.5764,,0.01
Marshall Islands,MHL,2007,4222.413,,3.6
Marshall Islands,MHL,2008,3903.3057,,-7.56
Marshall Islands,MHL,2009,4047.2268,,3.69
Marshall Islands,MHL,2010,4269.3584,,5.49
Marshall Islands,MHL,2011,4259.116,,-0.24
Marshall Islands,MHL,2012,4244.0444,,-0.35
Marshall Islands,MHL,2013,4469.8535,,5.32
Marshall Islands,MHL,2014,4491.9917,,0.5
Marshall Islands,MHL,2015,4670.1094,,3.97
Marshall Islands,MHL,2016,4896.522,,4.85
Marshall Islands,MHL,2017,5199.344,,6.18
Marshall Islands,MHL,2018,5635.3076,,8.38
Marshall Islands,MHL,2019,6405.0757,,13.66
Marshall Islands,MHL,2020,6417.1846,,0.19
Marshall Islands,MHL,2021,6705.8755,,4.5
Marshall Islands,MHL,2022,6844.3345,,2.06
Marshall Islands,MHL,2023,6786.696,Oceania,-0.84
Marshall Islands,MHL,2024,7212.3345,,6.27
Papua New Guinea,PNG,1990,3164.149,,
Papua New Guinea,PNG,1991,3358.1887,,6.13
Papua New Guinea,PNG,1992,3690.345,,9.89
Papua New Guinea,PNG,1993,4206.429,,13.98
Papua New Guinea,PNG,1994,4297.891,,2.17
Papua New Guinea,PNG,1995,4008.722,,-6.73
